id,Type,Title,Country,Data Added,Release Year,Rating,Genre
2769,Movie,Weed the People,United States,5/14/2019,2018,TV-14,Documentaries
2770,Movie,14 Minutes from Earth,United States,2/1/2019,2016,TV-14,Documentaries
2771,Movie,1 Chance 2 Dance,United States,7/1/2017,2014,TV-PG,"Dramas, Romantic Movies"
2772,Movie,Beneath the Leaves,United States,6/8/2019,2019,TV-MA,"Independent Movies, Thrillers"
2773,Movie,Step Brothers,United States,11/1/2019,2008,R,Comedies
2774,Movie,Bedtime Stories,United States,3/5/2019,2008,PG,"Children & Family Movies, Comedies"
2775,Movie,Death Note,United States,8/25/2017,2017,TV-MA,"Horror Movies, Thrillers"
2776,Movie,Barbie in A Mermaid Tale,United States,10/1/2017,2010,TV-Y,Children & Family Movies
2777,Movie,Stephanie,United States,9/1/2018,2017,R,Horror Movies
2778,Movie,Hot Rod,United States,11/20/2019,2007,PG-13,"Comedies, Sports Movies"
2779,Movie,Security,United States,10/3/2017,2017,R,Action & Adventure
2780,Movie,The Pelican Brief,United States,11/1/2019,1993,PG-13,"Dramas, Thrillers"
2781,Movie,The Book of Eli,United States,7/1/2019,2010,R,"Action & Adventure, Sci-Fi & Fantasy"
2782,Movie,The Meaning of Monty Python,United States,10/2/2018,2013,TV-MA,Documentaries
2783,Movie,The Lake House,United States,9/1/2019,2006,PG,"Dramas, Romantic Movies, Sci-Fi & Fantasy"
2784,Movie,Awake,United States,11/24/2019,2019,TV-MA,Thrillers
2785,Movie,Fun Mom Dinner,United States,12/31/2017,2017,R,"Comedies, International Movies"
2786,Movie,SPF-18,United States,10/30/2017,2017,PG-13,"Dramas, Romantic Movies, Sports Movies"
2787,Movie,Paddleton,United States,2/22/2019,2019,TV-MA,"Comedies, Dramas, Independent Movies"
2788,Movie,House of the Witch,United States,10/1/2019,2017,TV-14,Horror Movies
2789,Movie,Carriers,United States,11/20/2019,2009,PG-13,"Horror Movies, Sci-Fi & Fantasy, Thrillers"
2790,Movie,The Crow,United States,1/1/2019,1994,R,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy"
2791,Movie,Ibiza,United States,5/25/2018,2018,TV-MA,"Comedies, Romantic Movies"
2792,Movie,Walking Out,United States,10/1/2019,2017,PG-13,"Dramas, Independent Movies, Thrillers"
2793,Movie,"Hello, Privilege. It's Me, Chelsea",United States,9/13/2019,2019,TV-MA,Documentaries
2794,Movie,John Mulaney: Kid Gorgeous at Radio City,United States,5/1/2018,2018,TV-MA,Stand-Up Comedy
2795,Movie,A Christmas Prince,United States,11/17/2017,2017,TV-PG,"Children & Family Movies, Dramas, Romantic Movies"
2796,Movie,Woody Woodpecker,United States,2/6/2018,2017,PG,"Children & Family Movies, Comedies"
2797,Movie,Bombshell: The Hedy Lamarr Story,United States,5/31/2018,2017,TV-14,Documentaries
2798,Movie,Jessica Darling's It List,United States,8/1/2017,2016,TV-G,"Children & Family Movies, Comedies"
2799,Movie,Ai Weiwei: Never Sorry,United States,3/1/2018,2012,R,Documentaries
2800,Movie,Take Your Pills,United States,3/16/2018,2018,TV-14,Documentaries
2801,Movie,The Diabolical,United States,8/1/2018,2015,TV-MA,"Horror Movies, Sci-Fi & Fantasy, Thrillers"
2802,Movie,Katt Williams: Live,United States,7/19/2018,2006,NR,Stand-Up Comedy
2803,Movie,Vegas Baby,United States,7/4/2017,2016,TV-14,Documentaries
